Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",25-09-1960,15:13:00,Atlas-D Able,Pioneer P-30,Retired,108.84232047397124,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",04-10-1960,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10-10-1960,14:27:00,Molniya,1M nâ Â­1 (Marsnik 1),Retired,108.84232047397124,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",11-10-1960,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,108.84232047397124,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",14-10-1960,13:51:00,Molniya,1M nâ Â­2 (Marsnik 2),Retired,108.84232047397124,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",26-10-1960,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,59.650769230769235,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12-11-1960,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,59.650769230769235,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21-11-1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,450.0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",23-11-1960,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,59.650769230769235,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",30-11-1960,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,59.650769230769235,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01-12-1960,7:30:00,Vostok,Korabl-Sputnik 3,Retired,108.84232047397124,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",04-12-1960,21:14:00,Scout X-1,Explorer (S-56),Retired,450.0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07-12-1960,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,59.650769230769235,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",15-12-1960,9:10:00,Atlas-D Able,Pioneer P-31,Retired,108.84232047397124,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",19-12-1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,450.0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20-12-1960,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",22-12-1960,7:45:00,Vostok,1K nâ Â­5 (Korabl-Sputnik 3),Retired,108.84232047397124,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",31-01-1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,450.0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",31-01-1961,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,108.84232047397124,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04-02-1961,1:18:00,Molniya,1VA nâ Â­1 (Venera 1),Retired,108.84232047397124,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12-02-1961,0:34:00,Molniya,Venera 1,Retired,108.84232047397124,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",16-02-1961,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,450.0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17-02-1961,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,59.650769230769235,Success
